step,rows_affected,note
raw rows loaded,6120,starting point
duplicate listings removed,120,same listing_id appeared more than once
suburb names standardised,525,"case, spacing and abbreviation fixes"
suburb names unmapped,0,would need a new alias; should be 0
price text converted to numbers,6000,"removed 'R', spaces, commas, cents"
implausible floor sizes set to null,26,"outside 15-2000 m2; row kept, price per m2 excluded"
missing bedrooms left null,230,not imputed: guessing would bias bedroom analysis
missing floor size left null,204,includes the implausible values above
sold-before-listed rows removed,15,impossible date order
clean rows saved,5985,final table
